'Ref_name','codes','Did','years','last_n','first_n','dob','dod'
Castellani,WD,EGC,@1970-1994,Castellani,Enzo Girolami,,199x
Caserini,D,MCs,@1913,Caserini,Mario,19xx,
Cass,D,HyC,@1950,Cass,Henry,19xx,199x
Cassini,D,AxC,@1991,Cassini,Alexander,,
Castellani,WD,ReC,@1941-1972,Castellani,Renato,1913,
Castellvi,D,xCa,@1940,Castellvi,gn,,
N.Castle,D,NiC,@1984-1993,Castle,Nick,,
W.Castle,ADP,WiC,@1943-1968,Castle,William,,
Cates,D,GiC,@1968-1980,Cates,Gilbert,,
CatonJones,D,MCJ,@1989-1995,Caton-Jones,Michael,,
Cattaneo,D,PCa,@1997,Cattaneo,Peter,,199x
Caulfield,D,MCa,@1982,Caulfield,Michael,,
Cavalcanti,D,ACa,@1926-1962,Cavalcanti,Alberto,1897,1982
Cavalier,WD,ACv,@1986,Cavalier,Alain,,
Cayatte,D,ACy,@1949-1970,Cayatte,Andre,1909,
Cerf,D,NAC,@1956,Cerf,Norman A.,,
Chabrol,WD,ClC,@1958-1983,Chabrol,Claude,1930,
Chadha,DSWSS,GuC,@1994,Chadha,Gurinder,19xx,
Chaffey,D,DCh,@1963,Chaffey,Don,,
Chahine,D,YCh,@1958-1973,Chahine,Youssef,,
Champion,D,GCh,@1983,Champion,Gregg,,
J.Chan,AD,JCh,@1982-1986,Chan,Jackie,,
P.Chan,D,PtC,@1997,Chan,Peter Ho-Sun,,
T.Chan,AD,TCn,@1993,Chan,Tony,,
Chaplin,ADP,CC,@1914-1966,Chaplin,Sir Charles,1889,1977
Ma.Chapman,D,MCp,@1979,Chapman,Michael,,
Mi.Chapman,D,MCh,@1983-1984,Chapman,Michael,,
Chappelle,WD,JCe,@1994,Chappelle,Joe,19xx,
Chartoff,P,,1979-1989,Chartoff,Robert,,
Chase,D,RiC,@1983,Chase,Richard,,
Chasnoff,D,DbC,@1990,Chasnoff,Debra,19xx,
Chatiliez,D,EtC,@1987-1990,Chatiliez,Etienne,,
Chautard,D,EmC,@1919,Chautard,Emile,,
Chechik,D,JeC,@1992,Chechik,Jeremiah,19xx,
Chelsom,D,PCh,@1992-1998,Chelsom,Peter,,
A.Chen,D,ACh,@1998,Chen,Andrew,,
J.Chen,AD,JnC,@1999,Chen,Joan,19xx,19yy
K.Chen,D,KGC,@1985,Chen,KaiGe,,
x.Chen,D,xCh,@1999,Chen,xgn,,
Chereau,D,PaC,@1975-1994,Chereau,Patrice,,
Chesterton,B,,,Chesterton,G.K.,,
Ching,D,CST,@1985-1990,Ching,SuiTung,,
Cholodenko,D,LCl,@1998,Cholodenko,Lisa,,
Chomsky,D,MvC,@1971-1984,Chomsky,Marvin,,
Christian,D,RCh,@1997,Christian,Roger,19xx,199x
Chong,DA,TCh,@1978-1982,Chong,Thomas,,
ChristianJaque,DW,ChJ,@1938-1980,Maudet,Christian,1904,
Chytilova,D,VCy,@1992,Chytilova,Vera,19xx,
Cimber,D,MCb,@1981,Cimber,Matt,,
Cimino,WD,MCi,@1973-1980,Cimino,Michael,1940,
Cisse,D,SoC,,Cisse,Souleymane,,
Clair,D,RC,@1923-1965,Chomette,René,1898,1981
A.Clark,D,ACl,@1987,Clark,Alan,,
B.Clark,DP,BCl,@1972-1983,Clark,Bob,,
B.D.Clark,D,BDC,@1981,Clark,B.D.,,
G.Clark,D,GCl,@1980,Clark,Greydon,19xx,
J.Clark,ED,JiC,@1968-1974,Clark,Jim,1931,
J.B.Clark,ED,JBC,@1957-1971,Clark,James B.,1908,
Clarke,D,SCl,@1961-1964,Clarke,Shirley,,
Clavel,D,RCv,@1951,Clavel,Robert,,
Clavell,WDP,JCv,@1958-1971,Clavell,James,1922,
Clayton,CDP,JCn,@1955-1983,Clayton,Jack,1921,
Clegg,D,TCl,@1980,Clegg,Tom,,
Clemens,D,WCl,@1936-1947,Clemens,William,1905,
Clement,D,RCl,@1943-1975,Clément,René,1913,1996
Clifford,D,GrC,@1982-1990,Clifford,Graeme,,
Clifton,D,ECl,@1944,Clifton,Elmer,,
Cline,D,ECn,@1940,Cline,Edward,19xx,
Clouse,WD,RbC,@1973-1977,Clouse,Robert,,
Clouzot,WD,HGC,@1942-1970,Clouzot,Henri-Georges,1907,1977
Clowes,D,SIC,@1948,Clowes,St.John L.,,
Clurman,D,HaC,@1946,Clurman,Harold,,199x
Coates,D,LCo,@1983,Cozzi,Luigi (Lewis),,
Cochran,D,SyC,@1992,Cochran,Stacy,,
Cockrell,WD,FCk,@1956,Cockrell,Francis,,
M.Cockrell,W,Mck,@1956,Cockrell,Marian,,
Cocteau,WD,JC,@1930-1959,Cocteau,Jean,1869,1963
F.Coe,PD,FrC,@1965-1969,Coe,Fred,1914,1979
W.Coe,D,WaC,@1990,Coe,Wayne,,
E.Coen,WP,,1984-1990,Coen,Ethan,,
J.Coen,D,JlC,@1984-1990,Coen,Joel,,
E.Cohen,D,ECh,@1991,Cohen,Eli,,
L.Cohen,WPD,LCh,@1982,Cohen,Larry,,
N.Cohen,D,NCh,@1977,Cohen,Norman,,
R.Cohen,DP,RCn,@1984-1996,Cohen,Rob,,
Cohl,D,EiC,@1909-1911,Cohl,Emilre,19xx,
Harry Cohn,P,,,Cohn,Harry,1891,1958
Coleman,D,HCo,@1965,Coleman,Herbert,,
Colla,D,RAC,@1972-1978,Colla,Richard A.,,
Collard,D,CyC,@1994,Collard,Cyril,1951,1993
Coletti,D,DuC,@1960,Coletti,Dulio,,
D.Collier,CD,DvC,@1994,Collier,David,1962,
J.Collier,WD,JFC,@1990,Collier,James F.,,
L.Collins,D,LCs,@1948,Collins,Lewis D.,,
P.Collins,D,PhC,@1990,Collins,Philip,,199x
R.Collins,D,RgC,@1994-199,Collins,Roger,,199x
Collinson,D,PCo,@1967-1980,Collinson,Peter,1938,1980
Colpi,D,HrC,@1961,Colpi,Henri,,
Columbus,WD,CCo,@1987-1992,Columbus,Chris,1959,
Comfort,CDP,LaC,@1941-1965,Comfort,Lance,1908,1966
Comencini,D,LgC,@1953-1988,Comencini,Luigi,,
Compton,D,RCm,@1973-1975,Compton,Richard,,
Condon,D,BCo,@1998,Condon,Bill,,
Conn,D,NcC,@1992,Conn,Nicole,,
Connor,D,KCo,@1970-1979,Connor,Kevin,,
Conrad,PD,WCo,@1965,Conrad,William,,
Considine,P,,1935-1936,Considine,"John W., jr.",,
Bill Conti,M,,1979,Conti,Bill,,
Conway,D,JCw,@1912-1948,Conway,Jack,1887,1952
F.Cook,D,FiC,@1956-1977,Cook,Fielder,1923,
R.Cook,D,RnC,@1994,Cook,Robin,19xx,
Cookson,D,ToC,@1991,Cookson,Tony,,
Coolidge,D,MaC,@1983-1994,Coolidge,Martha,1947,
M.C.Cooper,PCD,MCC,@1933,Cooper,Merian C.,1893,1973
S.Cooper,D,SCo,@1977,Cooper,Stuart,,
Chopra,D,JcC,@1997,Chopra,Joyce,,199x
Coraci,D,FCr,@1998,Coraci,Frank,19xx,199x
Carmine Coppola,M,,@1974-1979,Coppola,Carmine,1911,1991
Coppola,WDP,FFC,@1963-1983,Coppola,Francis Ford,1939,
Corbiau,D,GCo,@1989,Cobiau,Gerard,,
Corbucci,D,SeC,@1966-1978,Corbucci,Sergio,,
Corman,DP,RCo,@1955-1971,Corman,Roger,1926,
Corneau,D,AlC,@1979,Corneau,Alain,,
Cornelius,WD,HCs,@1948-1958,Cornelius,Henry,1913,1958
Cornell,D,ICo,@1988,Cornell,John,,
Cornfield,DWP,HuC,@1956-1968,Cornfield,Hubert,1929,
Cortes,D,FCo,@1960,Cortes,Fernando,,
Corti,D,AzC,@1984,Corti,Azel,19xx,
Coscarelli,D,DoC,@1970-1982,Coscarelli,Don,,
Cosmatos,D,GPC,@1974-1993,Cosmatos,George Pan,1941,
daCosta,ADP,MdC,@1958-1962,da Costa,Morton,,1989
CostaGavras,DW,CCG,@1965-1998,Costa-Gavras,Constantin,1933,
Costner,AD,KeC,@1990,Costner,Kevin,1955,
Cottard,D,xCo,@1994,Cottard,gn,19xx,
Cotter,D,ICt,@1979,Cotter,John,,
Coutinho,D,ECo,@1960-1984,Coutinho,Eduardo,,
Coward,AWCD,NC,@1941-1969,Coward,Sir Noel,1899,1973
A.Cox,DW,ACx,@1984,Cox,Alex,,
J.Cox,C,,1928-1938,Cox,Jack,,
P.Cox,D,PCx,@1981-1994,Cox,Paul,,
Crabtree,D,ACt,@1958,Crabtree,Arthur,19xx,
Crain,D,WlC,@1972,Crain,William,,
Crane,D,PCr,@1973,Crane,Peter,,
J.Craven,D,JCr,@1994,Craven,Jay,,
W.Craven,WD,WCr,@1970-1988,Craven,Wes,1939,
Ch.Crichton,D,ChC,@1944-1965,Crichton,Charles,1910,
M.Crichton,WAD,MiC,@1973-1981,Crichton,Michael,,
Crombie,D,DCb,@1983,Crombie,Donald,,
Cromwell,DA,ICr,@1929-1961,Cromwell,John,1888,1979
Cronenberg,D,DCr,@1970-1986,Cronenberg,David,1948,
Floyd Crosby,C,,1930-1980,Crosby,Floyd,,1985
Crosland,D,AC,@1923-1935,Crosland,Alan,1894,1936
Crosland jr,D,ACj,@1960,Crosland,Alan jr,,
C.Crowe,BWD,CCw,@1989-1992,Crowe,Cameron,,
Ch.Crowe,D,CCr,@1988-1992,Crowe,Christopher,,
Cruise,AD,TCr,@1993,Cruise,Tom,19xx,
Cruper,D,MeC,@1996,Crüper,Melanie,,
Cruze,AD,JaC,@1906-1938,Bosen,Jens Cruz (James),1884,1942
Crystal,D,BCr,@1992,Crystal,Billy,,
Cuaron,D,ACu,@1990,Cuaron,Alfonso,19xx,
Cukor,PD,GC,,Cukor,George,1899,1983
I.Cummings,D,IrC,@1925-1951,Cummings,Irving,1888,1959
J.Cummings,P,,1935-1964,Cummins,Jack,1900,
Cundieff,DAW,RuC,@1994-1997,Cundieff,Rusty,19xx,
Cunha,PD,RCu,@1958-1961,Cunha,Richard (Dick),19xx,
Cunningham,D,SSC,@1980-1983,Cunningham,Sean S.,,
D.Curtis,PD,DCs,@1970-1983,Curtis,Dan,1928,
E.Curtis,D,ECs,@1914,Curtis,Edward S.,,
Richard Curtis,W,,@1994,Curtis,Richar,1958,
Curtiz,D,C,@1919,Kertesz,Mihaly (Michael),1888,1962
Cutts,D,GCt,@1920-1926,Cutts,Graham,1885,1958
Czinner,PD,PCz,@1932-1966,Czinner,Paul,1890,197x
Daalder,D<>  DReD,@1980,Daalder,Renee,,,
dAbbabie,D,HAA,@1930,d'Abbadie d'Arrast,Harry,19xx,
Dabadie,WD,JLD,@1983,Dabadie,Jean Loup,,
daFontoura,D,ACd,@1968,daFontoura,Antonio Carlos,,
Dahl,D,IDa,@1990-1992,Dahl,John,,
Daley,D,SaD,@1970,Daley,Sandy,,
R.Daley,P,,1976,Daley,Robert,,
Dalva,D,RoD,@1983,Dalva,Robert,,
dAmato,D,JdA,@1990,D'Amato,Joe,,
Damiani,D,DaD,@1982,Damiani,Damiono,,
Damiano,D,GrD,@1972,Damiano,Gerard,,
Damianos,D,AxD,@1966,Damianos,Alexis,,
Damski,D,MDa,@1980-1983,Damski,Mel,,
Daneliuc,D,MDn,@1994,Daneliuc,Mircea,19xx,
Daniel,D,RdD,@1991,Daniel,Rod,,
Daniels,C,,19xx,Daniels,William,,
Danielson,D,TgD,@1980,Danielson,Tage,,
Danquart,D,PDq,@1993,Danquart,Pepe,19xx,
Danska,D,HbD,@1966,Danska,Herbert,,
Dante,D,JoD,@1976-1980,Dante,Joe,,
Darabont,D,FDa,@1994,Darabont,Frank,,199x
Darby,D,JDy,@1997,Darby,Jonathan,19xx,199x
Darnell,D,EwD,@1998,Darnell,Edwin,,
DArrast,D,HDA,@1927-1934,D'Arrast,Harry D'Abadie,1893,1968
Dardenne,D,LuD,@1990-1999,Dardenne,Luc,,199x
Dash,D,JDs,@1992,Dash,Julie,19xx,
Dassin,DA,JD,@1942-1980,Dassin,Jules,1911,
Daugherty,D,HeD,@1958-1963,Daugherty,Hershel,,
Daves,WPD,DeD,@1933-1965,Daves,Delmer,1904,1977
David,D,ChD,@1945,David,Charles,,
G.Davidson,D,GDa,@1972,Davidson,Gordon,,
M.Davidson,D,MtD,@1980,Davidson,Martin,,
T.Davies,D,TDv,@1990,Davies,Terence,19xx,
V.Davies,D,VDa,@1955,Davies,Valentine,19xx,
A.Davis,D,ADv,@1988-1993,Davis,Andrew,,
D.Davis,D,DDa,@1981,Davis,Desmond,,
T.Davis,D,TDa,@1993,Davis,Tamra,,
Davy,D,JFD,@1982,Davy,Jean-Fran{c}cois,19xx,
Dawson,D,AMD,@1965-1983,Dawson,Anthony M.,,
E.Day,D,ErD,@1981,Day,Ernest,,
R.Day,CD,RDa,@1957-1980,Day,Robert,1922,
Dayan,D,ADy,@1993,Dayan,Assi,,
Dayton,PD,LyD,@1990,Dayton,Lyman,,
Dean,PD,BDn,@1930-1939,Dean,Basil,1888,1978
deAntoni,D,AbA,@1917,de Antoni,Alberto,,
deAntonio,D,EdA,@1970-1989,deAntonio,Emil,1950,1989
Dear,D,WiD,@1983-1994,Dear,William,,
B.Dearden,EDP,BaD,@1941-1970,Dearden,Basil,1911,1971
J.Dearden,D,JDr,@1991,Dearden,James,,
deBello,AWD,IdB,@1978,deBello,John,,
DeBroca,D,PdB,@1961-1967,deBroca,Philippe,,
DeBont,CD,JDB,@1994,De Bont,Jan,19xx,
deBosio,D,xDB,@1975,De Bosio,Un,,
Henri Decae,C,,@1959,"Deca""e",Henri,19xx,
deCanonge,D,MCg,@1949,deCanonge,Maurice,,
Decoin,D,HDc,@1937-1964,Decoin,Henri,1896,1969
deConcini,D,EdC,@1973,de Concini,Ennio,,
deCordova,D,FdC,@1945-1966,deCordova,Frederick,1910,
deCrescenzo,D,LdC,@1984,de Crescenzo,Luciano,,
Deed,AD,AnD,@1921,Deed,Andre,19xx,
DeFelitta,D,FDF,@1991,De Felitta,Frank,19xx,199x
DeFilippo,BWDA,EDF,@1932,Passarelli,Eduardo,1900,1984
DegliAbbati,D,ADA,@1914,Degli Abbati,Alberto,19xx,
deHeredia,D,xdH,@1950,deHeredia,gn,,
Deitch,PD,DDe,@1985,Deitch,Donna,19xx,
deJong,D,MdJ,@1994,de Jong,MiJke,19xx,
Dekker,D,FrD,@1993,Dekker,Fred,19xx,
DeKobra,D,MDK,@1927,DeKobra,Maurice,19xx,
DelaEglesia,D,EdE,@1983,de la Eglesia,Eloy,,
Delannoy,D,JnD,@1940-1967,Delannoy,Jean,1908,
delaPatelliere,D,DdP,@1980,de la Patelliere,Denys,,
DeLaurentiis,P,,1939-1981,De Laurentiis,Dino,1919,
F.DeLaurentiis,P,,1980,De Laurentiis,Frederico,1950,1981
R.DeLaurentiis,P,,19xx,De Laurentiis,Raffaella,,
Delerue,C,,1958-1983,Delerue,Georges,1925,
deLiguoro,D,GdL,@1909,de Liguoro,Guiseppe,19xx,
deLimur,D,JdL,@1929,deLimur,Jean,,
Dell,D,JeD,@1944,Dell,Jeffrey,,
Delluc,WD,LD,@1920-1924,Delluc,Louis,1892,1924
Delpeut,D,PDp,@1994,Delpeut,Peter,19xx,
delRuth,WD,RdR,@1929-1960,del Ruth,Roy,1895,1961
DeLuise,D,DLD,@1979,DeLuise,Dom,,
delToro,D,GdT,@1994-1997,del Toro,Guillermo,19xx,
Delvaux,MDV,ADx,@1953-1989,Delvaux,André,1926,
J.Demme,WDP,JDe,@1974-1980,Demme,Jonathan,,
T.Demme,D,TDe,@1992,Demme,Ted,,
Demicheli,D,xDe,@1959,Demicheli,gn,,
DeMille,DPA,CDM,@1913-1959,DeMille,Cecil B.,1881,1959
W.DeMille,BWDP,WDM,@1916-1928,DeMille,William C.,1878,1955
A.DeMille,GA,,1922,DeMille,Agnes,1905,1993
J.Demy,WD,JqD,@1960-1979,Demy,Jaques,1931,1990
deNiro,D,RdN,@1993,deNiro,Robert,1943,
Denis,D,ClD,@1988,Denis,Claire,1947,
Densham,D,PDe,@1998,Densham,Pen,,
deOliveira,WDPCE,MdO,@1930-1999,de Oliveira,Manoel Candido Pinto,1908,
B.dePalma,D,BdP,@1968-1987,de Palma,Brian,,
F.dePalma,D,FdP,@1986,de Palma,Frank,,
Depp,AD,IDe,@1997,Depp,Johnny,1963,199x
Derek,ADC,IDk,@1964-1981,Harris,John Derek,1926,
deRoubais,WDC,PdR,@1963,de Roubais,Paul,,
DeSantis,WD,GdS,@1947-1972,De Santis,Guiseppe,1917,
Deschanel,CD,CDe,@1982-1990,Deschanel,Caleb,,
deSica,DAS,VdS,@1941-1973,de Sica,Vittorio,1901,1974
DeSimone,D,TDS,@1981,DeSimone,Tom,,
deToth,D,ADT,@1940-1969,de Toth,André,1912,
Deutsch,D,HoD,@1986-1994,Deutsch,Howard,,
Devers,D,CDv,@1993,Devers,Claire,19xx,
deVille,D,MdV,@1986-1992,deVille,Michel,,
D.deVito,AD,DdV,@1988-1989,de Vito,Danny,,
R.DeVito,D,RDV,@1977,DeVito,Ralph,,
Dexter,D,IDx,@1969-1971,Dexter,John,,1990
Dhavan,D,DvD,@1998,Dhavan,David,,
Dhery,DA,RDh,@1967,Dhéry,Robert,19xx,
IAL.Diamond,W,,1997,Diamond,Isador A.L. (Izzy),19xx,1988
Dickerson,CD,EDi,@1991-1995,Dickerson,Ernest,,
diCillo,D,TdC,@1995,diCillo,Tom,,199x
Dickens,B,,@1931-1975,Dickens,Charles,1812,1870
James Dickey,B,id,1972,James,Dickey,1923,1997
Dickinson,D,ThD,@1925-1955,Dickinson,Thorold,1903,
Dickson,DC,WKD,@1893,Dickson,W.K.L.,,
Dienstag,D,ADg,@1992,Dienstag,Alan,19xx,
Dieterle,AD,WlD,@1926-1966,Dieterle,Wilhelm (William),1893,1972
Dietl,D,HDl,@1992,Dietl,Helmut,19xx,
Dieudonne,DA,AlD,@1924,DieuDonne,Albert,,
Digues,D,CDi,@1963,Digues,Carlos,,
DiLeo,D,FDL,@1976,DiLeo,Fernando,,
Dillon,D,IFD,@1929-1934,Dillon,John Francis,1887,1934
Dimopoulos,D,DiD,@1959,Dimopoulos,Dino,19xx,
Dimsey,D,RDi,@1983,Dimsey,Ross,,
Dinner,D,MDi,@1985,Dinner,Michael,,
Disney,D,WD,@1928-1951,Disney,Walt,1901,1966
Djarot,D,EDj,@1989,Djarot,Eros,,
DiVolito,D,xDv,@1997,DiVolito,Un,,199x
Dmytryk,D,EDm,@1935-1976,Dmytryk,Edward,1908,
Dobkin,D,DDk,@1998,Dobkin,David,,
Dobson,D,KeD,@1980,Dobson,Kevin,,
Dolan,MP,,1941-1956,Dolan,Robert Emmett,1906,1972
Doillon,D,JDo,@1990,Doillon,Jaques,,199x
Dolz,D,SHD,@1992,Dolz,Sonia Herman,19xx,
Donaldson,D,RDo,@1977-1994,Donaldson,Roger,,
Donatien,D,xDo,@1927,Donatien,gn,19xx,
Donehue,D,VJD,@1959-1960,Donehue,Vincent J.,1916,1966
Donen,DGP,StD,@1949-,Donen,Stanley,1924,199x
Dong,D,ArD,@1994,Dong,Arthur,19xx,
Donnelly,D,DDy,@1978,Donnelly,Dennis,,
C.Donner,D,CD,@1956-1983,Donner,Clive,1926,
R.Donner,AD,RD,@1962-1988,Donner,Richard,1939,
Donohue,D,JDh,@1950-1966,Donohue,Jack,1912,
Donoghue,D,MAD,@1991,Donoghue,Mary Agnes,,
K.Donovan,AD,KgD,@1963,Donovan,King,1919,
M.Donovan,D,MrD,@1986-1989,Donovan,Martin,,
Donskoi,D,MkD,@1929-1973,Donskoi,Mark,1897,1980
Dorman,D,JDm,@1998,Dorman,Joseph,19xx,199x
Dorrie,D,DDo,@1980,Dorrie,Doris,1955,
G.Douglas,WD,GDo,@1936-1977,Douglas,Gordon,1909,
K.Douglas,AD,KrD,@1973,Douglas,Kirk,1916,
R.Douglas,D,RtD,@1963,Douglas,Robert,,
Dowling,D,KDo,@1995,Dowling,Kevin,19xx,
Dovzhenko,WD,AD,@1929-1947,Dovzhenko,Alexandr,1894,1956
Downey,D,RbD,@1980,Downey,Robert,,
A.C.Doyle,B,,1900-1977,Doyle,Arthur Conan,19xx,
Drabo,D,AdD,@1991,Drabo,Adama,19xx,
Drach,D,MiD,@1974-1979,Drach,Michel,,
Dragojevic,D,SDv,@1999,Dragojevic,Srdjan,,
Dragoti,D,SDr,@1979-1984,Dragoti,Stan,,
Drazan,D,ADz,@1991,Drazan,Anthony,,
Hans Dreier,V,,1941-1951,Dreier,Hans,19xx,
Dreifuss,WD,ADr,@1967,Dreifuss,Arthur,,
Dreville,D,xDr,@1965,Dréville,gn,19xx,
Dreyer,D,CDr,@1920-1964,Dreyer,Carl Theodor,1889,1968
Drilling,D,EDr,@1998,Drilling,Eric,,
DuBroux,D,DDB,@1997,Dubroux,Danielle,,199x
duChau,D,Fdu,@1998,Du Chau,Frederik,,
Dudow,D,SlD,@1930,Dudow,Slatan,,
Dugan,D,DDg,@1996,Dugan,Dennis,,
Dugowson,D,MDw,@1994,Dugowson,Martine,19xx,
Duigan,WD,IDu,@1982,Duigan,John,1951,
Duffell,D,PDu,@1971-1982,Duffell,Peter,,
B.Duke,AD,BDu,@1991-1997,Duke,Bill,,
D.Duke,D,DDu,@1973,Duke,Daryl,,
Dulac,PD,GD,@1915-1930,Saisset-Schneider,Charlotte-E.G.,1882,1942
Dumont,D,BrD,@1998,Dumont,Bruno,,
Duncan,D,PDc,@1997,Duncan,Peter,,199x
Dunlap,D,RiD,@1960,Dunlap,Richard,,
Dunn,D,GDu,@1958,Dunn,Gilbert,,
Dominick Dunne,PB,,@1970-1997,Dunne,Dominick,1925,199x
Liebling,D,RLn,@1994,Liebling,Rachel,19xx,
Linwood Dunn,V,,1933,Dunn,Linwood,,
Dunning,MD,GgD,@1968,Dunning,George,1998,
G.Dunne,PD,GfD,@1997,Dunne,Griffin,,
Ph.Dunne,WDP,PhD,@1955-1966,Dunne,Philip,1908,
Dunye,D,CDu,@1996,Dunye,Cheryl,,199x
Duparc,D,HDu,@1988,Duparc,Henri,19xx,
Dupont,WD,EAD,@1925,Dupont,E.A.,,
Durand,D,JDu,@1912-1914,Durand,Jean,19xx,
Duras,WD,MDu,,Duras,Marguerite,1914,
Duval,D,DnD,@1976,Duval,Daniel,,199x
Duvall,D,RDu,@1983-1997,Duvall,Robert,1931,199x
Duvivier,D,JuD,@1919-1963,Duvivier,Julien,1896,1967
Dwan,D,ADw,@1912-1961,Dwan,Alan,1885,1981
Carol Eastman,W,,@1970,Joyce,Adrien,19xx,
Eastwood,AD,CEa,@1977-1993,Eastwood,Clint,1930,
G.Eckman,AD,GEc,@1912-1937,Eckman,Gösta,1890,1938
H.Eckman,DAW,HEc,@1940-1964,Eckman,Hasse,1915,1938
Edel,D,UEd,@1982-1992,Edel,Uli,,
Eddington,P,,,Eddington,Samsom,1896,1983
Edgren,D,GuE,@1935,Edgren,Gustav,,
Edison,D,ThE,@1904,Edison,Thomas Alva,1847,1831
B.Edwards,AWDP,BE,@1955-1990,McEdwards,William Blake,1922,
Buck Edwards,P,,1972,Edwards,Buck,,
G.Edwards,D,JGE,@1915-1924,Edwards,J. Gordon,,
H.Edwards,AD,HeE,@1932-1941,Edwards,Henry,1882,1952
W.Edwards,PWD,WEd,@1969,Edwards,William,,
Edzard,PD,CEd,@1988-1992,Edzard,Christine,,
Egoyan,D,AEy,@1985-1995,Egoyan,Atom,,
Eichorn,D,FrE,@1956,Eichorn,Franz,19xx,
Eisenstein,DW,SE,@1924-1944,Eisenstein,Sergei,1898,1948
Eisner,P,,y-1988,Eisner,Hal,,
Ek,M,MEk,@1998,Ek,Matt,,
Elias,D,MEl,@1994,Elias,Michael,19xx,
Ellen,D,DEl,@1998,Ellen,Doug,19xx,199x
Elliott,D,StE,@1998,Elliott,Stephan,,
B.Ellis,D,BEE,@1987,Ellis,Bret Easton,,
D.Ellis,D,DRE,@1996,Ellis,David R.,,
J.Ellis,D,,@1987,Ellis,J,,
Elman,D,IrE,@1958,Elman,Irving,,
Else,D,IEl,@1990,Else,John,19xx,
Elvey,D,ME,@1912-1956,Folkard,William (Maurice),1887,1967
Emmerich,D,RlE,@1992-1997,Emmerich,Roland,1946,
Enders,D,RoE,@1978,Enders,Robert,,
Endfield,D,CyE,@1951-1969,Endfield,Cy,,
Engel,D,xEn,@1935,Engel,,,
English,D,IEn,@1935-1951,English,John,1903,
Englund,PD,GgE,@1962,Englund,George,,
Enright,ED,REn,@1927-1939,Enright,Ray,1896,1965
Enyedi,D,IlE,@1990,Enyedi,Ildikô,,
H.Ephron,WP,,,Ephron,Henry,1911,1992
N.Ephron,BWAD,NoE,@1992,Ephron,Nora,,
J.Epstein,D,JEp,@1922-1947,Epstein,Jean,1897,1953
Julius Epstein,WP,,1942-1972,Epstein,Julius J.,1910,1992
M.Epstein,DW,MEp,@1933-1938,Epstein,Marie,1899,
Philip Epstein,W,,1941,Epstein,Philip G.,1910,
R.Epstein,DW,REp,@1984,Epstein,Robert,,
Erschbamer,D,GeE,@1992,Erschbamer,Georg,19xx,
Erskine,WPD,ChE,@1934-1959,Erskine,Chester,1905,
Essex,D,HEs,@1953,Essex,Harry,,
Eszterhaz,W,id,1997,Eszterhaz,Joe,1945,1998
Estevez,D,EmE,@1990,Estevez,Emilio,,
Etaix,WPD,PEt,@1961,Etaix,Pierre,19xx,199x
Eustache,D,JEu,@1964-1973,Eustache,Jean,,
Evans,D,DME,@1993,Evans,David Mickey,19xx,
Eyres,D,IEy,@1992,Eyres,John,19xx,
Faiman,D,PFa,@1986,Faiman,Peter,,
Fairbanks sr,AP,,1922-1924,Fairbanks,Douglas sr,,
Fairbanks jr,APW,,1947-1953,Fairbanks,Douglas jr,,
Fairchild,D,WiF,@1955,Fairchild,William,,
Fairfax,D,FFf,@1991,Fairfax,Ferdinand,,
Falconi,D,xFa,@1948,Falconi,gn,,
Falena,D,UgF,@1910-1911,Falena,Ugo,19xx,
Fanaka,D,JaF,@1979,Fanaka,Jamaa,,
Fancher,AWD,HFa,@1999,Fancher,Hampton,1939,
Fanck,D,ArF,@1925,Fanck,Arnold,,
Fansten,D,JFs,@1992,Fansten,Jaques,19xx,
Fargo,D,JFg,@1976-1982,Fargo,James,,
Farrelly,D,PFr,@1994-1998,Farrelly,Peter,19xx,
Farrow,DP,IFa,@1937-1959,Farrow,John,1904,1963
Fassbinder,DAWC,RWF,@1969-1979,Fassbinder,Rainer Werner,1945,1982
Favio,D,LFa,@1964,Favio,Leonardo,,
Feist,DW,FeF,@1928-1952,Feist,Felix E.,1906,1965
Charlie Feldman,P,,1967,Feldman,Richard K.,,
Felter,D,JiF,@1991,Felter,James M.,,
Fellini,D,FF,@1954-1992,Fellini,Frederico,1920,1993
Ferrara,D,AbF,@1981-1994,Ferrara,Abel,,
Ferren,VD,BmF,@1988,Ferren,Bram,,
J.Ferrer,AD,JFe,@1958,Ferrer,Jose,,
M.Ferrer,AD,MeF,@1959,Ferrer,Mel,,
Ferreri,D,MFe,@1956-1973,Ferreri,Marco,1928,1997
Ferrin,WPD,FFe,@1953,Ferrin,Frank,19xx,
Ferris,D,CoF,@1983,Ferris,Costas,19xx,
Feuillade,D,LFl,@1908,Feuillade,Louis,19xx,
Fescourt,D,,@1911,Fescourt,Henri,19xx,
Feyder,ADW,JqF,@1916-1945,Frederix,Jaques,1888,1948
Field,D,CFd,@1994,Field,Connie,19xx,
Figgis,MDW,MFi,@1988-1996,Figgis,Mike,,
Finch,D,NFi,@1995,Finch,Nigel,,199x
Fincher,D,DFi,@1992-1997,Fincher,David,1963,
Finkleman,DW,KFi,@1982,Finkleman,Ken,,
Firstenberg,D,SFi,@1981,Firstenberg,Sam,,
Fishman,CWDP,GFi,@1989,Fishman,Billy,,199x
Fisk,D,JFi,@1981,Fisk,Jack,,
