FilmRef,Film_Nom,Film_Ann,FR_nom,FP_nom,FS_nom,Process,Categorie,F_Rcp
CaS10,Knight Moves,1993,D:Schenkel,PN:,St:Republic,prc,Action,aw
CCa10,Flight of the Innocent,1993,D:Carlei,PN:,SU:,col,Drame,aw
CCa13,Fluke,1993,D:Carlei,PN:,SU:,col,Drame,aw
CDv10,Noir et Blanc,1993,D:Devers,PN:,SU:,prc,Romance,aw
ChK10,"Farewell, my Concubine",1993,D:Kaige,PN:,SL:HK,col,"Drame, Romance","GP, AAN"
CNu10,House of Angels,1993,D:Nutley,PN:,SU:,prc,Comédie,aw
DAf10,Mannen Pa Balkongen,1993,D:Afredson,P:Hans Lonnerheden,St:Victoriafilm,col,"Action, Drama, Crime, Policier",aw
DAP10,The War Room,1993,D:Pennebaker,PN:Chris Hegedus,SU:,col,Documentaire,aw
DGl10,Frosh,1993,D:Geller,PN:,SU:,prc,Documentaire,aw
DME10,The Sandlot,1993,D:Evans,"PN:delaTorre, Gilmore",St:Fox,col,Comédie,aw
DmS1,Kalifornia,1993,D:Sena,PN:,St:Polygram,col,Horreur,aw
DRz10,Carences,1993,D:Rozenberg,PN:Jean-Stephanie Michaux,St:Tokuma SL:Japan,col,"Documentaire, Drame",aw
DZo10,We're Back! A Dinosaur Story,1993,D:D.Zondag,PN:Spielberg?,SU:,col,Animation,aw
EMF10,Amos and Andrew,1993,D:Frye,PN:,SU:,col,Drame,aw
FrD10,RoboCop 3,1993,D:Dekker,PN:,SU:,prc,Drame,aw
GGM10,Johnny Cien Pesos,1993,D:Marino,PN:Abdullah Ommidvar,St:Catalina,col,"Suspense, Documentaire",aw
GgW10,Romper Stomper,1993,D:G.Wright,PN:,SU:,col,Action,aw
GnA10,Il Ladro di Bambini,1993,D:Amelio,PN:,SU:,prc,Drame,aw
GoM10,Tito and Me,1993,D:Markovic,PN:,SU:,prc,Biopic,aw
GyS10,Like a Bride,1993,D:Schyfter,PU:,SU:,prc,Drame,
HGe10,Sankofa,1993,D:Gerima,PN:,SU:,prc,Drame,aw
IHo10,Happily Ever After,1993,D:Howley,PN:,SU:,prc,Animation,aw
ILf10,Man's Best Friend,1993,D:Lafia,PN:,SU:,prc,Comédie,aw
IMd10,Ethan Frome,1993,D:Madden,PN:,SU:,prc,Drame,aw
IMd12,Golden Gate,1993,D:Madden,PN:,SU:,prc,Drame,aw
INS10,The Boys of St.Vincent,1993,D:J.N.Smith,PN:,St:CBC,col,Drame,aw
JBo10,Barjo,1993,D:Boivin,PN:,SU:,prc,Drame,aw
JHp10,Benefit of the Doubt,1993,D:Heap,PN:,SU:,col,Suspense,aw
JPB10,Quartier Mozart,1993,D:Bekolo,PN:,SU:,prc,Drame,aw
JTa10,Oedipus Rex,1993,D:Taymor,PN:,SU:,prc,Drame,aw
JTu10,Cool Runnings,1993,D:Turtletaub,PN:Dawn Steele,SU:,col,Comédie,
JuM10,"Women -- for America, for the World",1993,D:Montell,PN:,St:Fantasy,prc,Documentaire,AAN
KTI10,Sop'Yongyi,1993,D:Im,PN:,St:Tae Hung,col,Drame,Bell
LeB10,Bad Behaviour,1993,D:Blair,PN:,SU:,col,Romance,aw
LLl10,Sniper,1993,D:Llosa,PN:,SU:,prc,Action,aw
JLy10,Boxing Helena,1993,D:J.Lynch,PN:,SU:,prc,"Horreur, Porn",aw
LlH10,Just Another Girl on the I.R.T.,1993,D:L.Harris,PN:,SU:,prc,Drame,aw
MaH10,Jack the Bear,1993,D:Herskovitz,PN:,SU:,col,Drame,aw
MBb10,Demolition Man,1993,D:Brambilla,PN:,SU:,col,Action,aw
MBi10,Indian Summer,1993,D:Binder,PN:,SU:,col,Romance,aw
MWid10,Butterfly Kiss,1993,D:Winterbottom,PU:,SU:,prc,Drame,
MkS10,A Far Off Place,1993,D:Salomon,PN:,St:Disney,col,Aventure,aw
MlG1,The Man Without a Face,1993,D:M.Gibson,PN:Bruce Davey,St:Warners,col,Drame,aw
MLz10,Defending Our Lives,1993,D:M.Lazarus,PN:,SU:,col,Documentaire,aw
MRg10,Ethnic Notions,1993,D:Riggs,PN:,St:Fantasy,prc,Documentaire,Emmy
MSb10,"Bodies, Rest, and Motion",1993,D:M.Steinberg,"PN:Eric Stoltz,",St:Fine Line,col,"Comédie, Romance",aw
MoF1,Bopha!,1993,D:Freeman,PN:Lawrence Taubman,St:Paramount,col,Drame,
MtM10,The Opposite Sex and How to Live with Them,1993,D:Meshekoff,PN:,SU:,prc,Comédie,aw
NkM10,Bank Robber,1993,D:Mead,PN:Lila Cazes,St:IRS Media,col,"Action, Drama, Crime, Policier",aw
OIo10,La Chasse Aux Papillons,1993,D:Iosseliani,PN:,SU:,prc,Comédie,aw
OvH10,Rules of the Road,1993,D:Herbrich,P:Herbrich,St:Herbrich,vol,Documentaire,aw
OYa10,Famine-33,1993,D:Yanchuk,PN:,SU:,prc,Documentaire,aw
PDq10,Black Rider,1993,D:Danquart,PN:,SU:,prc,Drame,AA
PeJ10,Dead Alive,1993,D:Peter.Jackson,PN:,SU:,prc,"Comédie, Horreur",aw
PhG10,The Birth of Love,1993,D:Garrel,PU:,SU:,prc,Romance,
PhH10,The Music of Chance,1993,D:P.Haas,PN:,SU:,prc,Drame,aw
PYu10,Damned in the U.S.A.,1993,D:Yule,P:Yule,SU:,col,Documentaire,aw
RbH8,The Hitcher,1993,D:Harmon,PN:,SU:,col,Action,aw
RbH10,Nowhere to Run,1993,D:Harmon,"PN:Craig Baumgarten, Gary Adelson",St:Columbia,col,"Action, Romance",aw
RcW10,It's all True: Based on An Unfinished Film By Orson Welles,1993,D:R.Wilson,PN:,SU:,prc,Documentaire,aw
RdN10,A Bronx Tale,1993,D:deNiro,PN:,SU:,prc,Drame,aw
RgW10,Road Scholar,1993,D:Weisberg,PN:,SU:,prc,Drame,aw
RHk10,Dead On,1993,D:Hemecker,PN:Stu Segall,St:Orion,col,Suspense,aw
RkK10,Quick,1993,D:R.King,PN:David Lancaster,St:HBO,col,"Action, Drama, Crime, Policier",aw
RlK10,For a Lost Soldier,1993,D:Kerbosch,PN:,SU:,prc,Drame,aw
RLn10,High Lonesome,1993,D:Liebling,PN:,SU:,prc,Musicale,aw
RmF8,Leprechaun,1993,D:Flender,PN:,SU:,prc,Horreur,aw
RyM10,The Wonderful Horrible Life of Leni Riefenstahl,1993,D:Muller,PN:,SU:,prc,Biopic,aw
RRz10,Mariachi,1993,D:Rodriguez,PN:,St:Columbia,prc,"Action, Drama, Crime, Policier",aw
RSv10,Lifepod,1993,D:R.Silver,PN:,St:Fox,TV,SciFi,aw
RWg10,Indochine,1993,D:Wargnier,"PN:Eric Heurant, Jeanne Adadre",SU:,col,"Drame, Romance",AA
SHk10,The Three Musketeers,1993,D:Herek,PN:,SU:,col,Aventure,aw
SiW8,Free Willy,1993,D:Wincer,"PN:R.Donner, Arnon Milchan, Lauren Shuler-Donner, Harry Tugend",S:Warners,col,Adolescence,aw
SPt10,Orlando,1993,D:D.Potter,PN:,SU:,col,"Romance, Porn",aw
SSo10,The Adventures of Huck Finn,1993,D:Sommers,PN:,St:Disney,prc,Aventure,aw
SSu5,Kid's in the Hall,1993,D:Surjik,PN:,SU:,prc,Comédie,aw
SSu10,Wayne's World 2,1993,D:Surjik,PN:,SU:,prc,Comédie,aw
StZ1,Searching for Bobbie Fisher,1993,D:Zaillian,PN:,St:Paramount,prc,Biopic,aw
SvB04,The Little Giants,1993,D:Brill,PN:,St:Disney,col,Comédie,aw
TCn10,Combination Platter,1993,D:T.Chan,PN:,SU:,prc,Comédie,aw
TCr10,The Frightening Frammis,1993,D:Cruise,P:Pollock,St:Showtime,TV,Suspense,aw
TDa10,CB4,1993,D:T.Davis,PN:,SU:,prc,Musicale,aw
TFy10,Watch It,1993,D:T.Flynn,PN:,SU:,prc,Drame,aw
ThS10,So I Married an Axe Murderer,1993,D:Schlamme,PN:,SU:,prc,Comédie,aw
TLo10,Chain of Desire,1993,D:Lopez,PN:,SU:,prc,Romance,aw
TNa10,Okoge,1993,D:Nakajima,PN:,SU:,prc,"Comédie, Porn",aw
TTN10,From Hollywood to Hanoi,1993,D:Nga,PN:,SU:,prc,Documentaire,aw
TrH10,The Scent of Green Papaya,1993,D:Hung,PN:,St:First Look,prc,Drame,"Camera D'or, AAN"
WhR10,Handgun,1993,D:Ransick,"PN:Bob Gosse, Larry Meistrich",St:Shooting Gallery,col,"Action, Comédie",aw
xBa10,Mazeppa,1993,D:Batabas,PN:,SU:,prc,Biopic,aw
YuB10,Three of Hearts,1993,D:Bogayevicz,PN:,SU:,prc,Comédie,aw
Z9310,Life With Mikey,1993,D:UnYear93,PN:,St:Fox,prc,Drame,aw
Z9320,Traces of Red,1993,D:UnYear93,PN:,SU:,col,"Action, Drama, Crime, Policier",aw
Z9330,Consenting Adults,1993,D:UnYear93,PN:,SU:,prc,Drame,aw
Z9340,The Man With Three Wives,1993,D:UnYear93,PN:,St:CBS,col,Drame,aw
Z9350,Mr. Baseball,1993,D:UnYear93,PN:,SU:,col,Comédie,aw
Z9360,Sommersby,1993,D:UnYear93,PU:,SU:,col,Drame,aw
Z9365,Silent Cries,1993,D:UnYear93,PU:,SU:,TV,Drame,
MdO111,O Dia do Desespero,1992,D:deOliveira,PN:,SU:,prc,"Documentaire, Drame",aw
MdO115,Vale Abrao,1992,D:deOliveira,PN:,SU:,prc,"Documentaire, Drame",aw
FF50,Intervista,1992,D:Fellini,PN:Buseo Mabos,SU:,"bnw, col","Drame, Biopic",
HKr30,Lassie,1992,D:Kress,PN:,St:Paramount,col,Drame,aw
CMk40,Sans Soleil,1992,D:Marker,PN:,SU:,prc,SciFi,aw
JIv42,Howard's End,1992,D:Ivory,PN:Ismail Merchant,St:Orion,col,Drame,aw
AWj50,The Horse Hair Ring,1992,D:Wajda,PN:,SU:,col,Drame,
SR80,The Stranger,1992,D:S.Ray,PN:,SL:India,prc,Drame,aw
aAS29,Brother Future,1992,D:Alan Smithee,PU:,SU:,col,Drame,aw
BE47,Holy Mischief,1992,D:B.Edwards,"P:Blake Edwards, Berry Weitz",SU:,col,Comédie,aw
RAl93,The Player,1992,D:Altman,PN:,St:EIM,col,Noir,AAN dir
LMa37,Damage,1992,D:Malle,"PN:Vincent Malle, Simon Relph",St:NewLine,col,Drame,
ArH236,The Babe,1992,D:Hiller,PN:,St:Universal,col,Biopic,
SL54,A Stranger Among Us,1992,D:Lumet,PN:,SU:,col,Drame,
MPi50,van Gogh,1992,D:Pialat,PN:,SU:,col,Biopic,
ERr50,A Tale of Springtime,1992,D:Rohmer,PN:,SU:,col,Romance,aw
ClS40,Un coeur en hiver,1992,D:Sautet,PN:,SU:,col,Romance,Cesar dir
RD35,Lethal Weapon III,1992,D:R.Donner,P:R.Donner,St:Warners,col,Action,aw
FFC26,Bram Stoker's Dracula,1992,D:Coppola,PN:,St:Columbia,col,Horreur,
IvP40,Stalin,1992,D:Passer,PN:Mark Carliner,St:HBO,col,Biopic,
LHz30,"Hold Me, Thrill Me, Kiss Me",1992,D:Hirszman,PN:,SU:,prc,Drame,aw
MAp41,35 Up,1992,D:Apted,PN:,SU:,TV,Documentaire,
MAp42,Thunderheart,1992,D:Apted,PN:,SU:,TV,Drame,
MAp43,Incident at Ogala,1992,D:Apted,PN:Robert Redford,SU:,prc,Documentaire,
RuT30,Liebe auf den ersten Blick,1992,D:Thome,PN:,St:Moana Film,col,"Romance, Comédie",aw
IAv25,Stop Or My Mom Will Shoot,1992,D:J.G.Avildsen,PU:,SU:,col,Comédie,aw
MRt25,Diggstown,1992,D:M.Ritchie,PN:,SU:,col,Drame,
BdP25,Raising Cain,1992,D:B.dePalma,PN:,St:Warners  SD:Universal,col,"Drame, Horreur",
PBo20,Noises Off,1992,D:Bogdanovich,PN:,SU:,col,Comédie,
BSc28,Single White Female,1992,D:Schroeder,P:Schroeder,St:Columbia,Tcol,Suspense,
HbR31,Straight Talk,1992,D:H.Ross,PN:,St:Buena Vista,col,"Romance, Drame",aw
OuS20,Guelwaar,1992,D:Sembene,PN:,SU:,prc,Drame,aw
RA15,Chaplin,1992,D:Attenborough,"PN:Attenborough, Mario Kassar",St:Tristar,col,Biopic,
WA19,Shadows and Fog,1992,D:Woody Allen,PN:Robert Greenhut,St:Orion,DeLuxe,Comédie,
BRf32,Man Trouble,1992,D:Rafelson,PN:,St:Fox,col,Romance,
DaA20,Edgar Allan Poe,1992,D:Argento,PN:,SU:,prc,Drame,aw
FSc27,Mr. Baseball,1992,D:Schepisi,PN:,SU:,col,Drame,
VME35,A Bird in the Hand,1992,D:McEveety,PN:Christopher Seiter,St:ABC,col,"Action, Drama, Crime, Policier",
CEa16,Unforgiven,1992,D:Eastwood,PN:,SU:,col,Western,"AA, AA dir"
IBa22,Another Stakeout,1992,D:Badham,"PN:Jim Kouf, Cathleen Summers,",St:Touchstone,col,Action,
JJA20,The Lover,1992,D:Annaud,PN:,SU:,col,"Romance, Porn",aw
RBa12,Cool World,1992,D:Bakshi,PN:Frank Marcuso jr.,St:Paramount,col,"Animation, Romance",
StF12,Hero,1992,D:Frears,PN:Laura Ziskin,St:Columbia,Tcol,"Comédie, Drame",
BTv26,La Guerre sans nom,1992,D:Tavernier,PN:,SU:,prc,Documentaire,aw
ERz18,Heimat II: The Wedding,1992,D:Reitz,P:Reitz,St:WDR,col,Drame,
ERz19,Heimat II: Eternal Daughter,1992,D:Reitz,P:Reitz,St:WDR,col,Drame,
ERz20,Heimat II: The End of the Future,1992,D:Reitz,P:Reitz,St:WDR,col,Drame,
ERz21,Heimat II: Time of Silence,1992,D:Reitz,P:Reitz,St:WDR,col,Drame,H**
JDe25,Cousin Boy,1992,D:J.Demme,PN:,SU:,col,Biopic,col
KBu45,Empire of the Air,1992,D:Burns,PN:,St:PBS,TV,Documentaire,aw
JKp32,Unlawful Entry,1992,D:J.Kaplan,PN:,SU:,prc,Suspense,aw
JKp33,Love Field,1992,D:J.Kaplan,"PN:Sarah Pillsbury, Midge Sanford",St:Orion,DeLuxe,Drame,
RaK15,"Honey, I Blew Up the Kid",1992,D:Kleiser,"PN:Edward Feldman, Dawn Steele",SU:,col,Comédie,aw
WHl30,Trespass,1992,D:W.Hill,PN:Neil Canton,St:Universal,col,Action,
BaK20,American Dream,1992,D:Kopple,PN:,SU:,,Documentaire,
BuR25,Cop and a Half,1992,D:B.Reynolds,PN:,SU:,prc,"Action, Drama, Crime, Policier",aw
RHo24,Far and Away,1992,D:R.Howard,PN:,SU:,col,Fantasy,
WiW25,Until the End of the World,1992,D:Wenders,PN:,SU:,,Fantasy,
DeJ28,Edward II,1992,D:Jarman,PN:,St:Fine Line,col,Drame,
ErM10,A Brief History of Time,1992,D:E.Morris,PN:,St:Triton,col,"Biopic, Documentaire",
GeM18,Lorenzo's Oil,1992,D:Geo.Miller,PN:,SU:,col,"Documentaire, Suspense, Drame",aw
PSc32,Light Sleeper,1992,D:Schrader,PN:,SU:,col,Drame,
AlC20,Tous Les Matins Du Monde,1992,D:Corneau,PN:,SU:,col,"Drame, Biopic","Delluc, Cesar, Cesar dir"
EWS10,The Secret Passion of Robert Clayton,1992,D:Swackhamer,PN:,St:USA,col,Drame,aw
MBr19,Scent of a Woman,1992,D:Brest,P:Brest,St:Universal,col,Comédie,"school, Midwest; NYC, NY"
MM30,The Last of the Mohicans,1992,D:M.Mann,PN:,SU:,col,Drame,
ErK30,Nemesis,1992,D:Karsen,PN:Alan Schecter,St:Imperial,col,Action,
GMu17,Freejack,1992,D:G.Murphy,PN:,SU:,prc,SciFi,aw
ISy22,Passion Fish,1992,D:Sayles,PN:,SU:,col,Drame,aw
MNe20,Enchanted April,1992,D:Newell,PN:,SU:,prc,Romance,aw
PHa25,Hugh Heffner: Once Upon A Time,1992,D:Haggard,PN:,SU:,col,"Biopic, Documentaire",
RR3,A River Runs Through It,1992,D:Redford,PN:,SU:,col,Drame,
VLo50,De Gudene er Dode,1992,D:Lokkeberg,P:Lokkeberg,St:Norwegian Film Institute,col,"Documentaire, Drame",aw
WMi25,Liberators: Fighting on two Fronts in World War II,1992,D:Miles,"P:Miles, Rosenblum",St:Miles Educational,"bnw, col",Documentaire,aw
YMZ22,Raise the Red Lantern,1992,D:YM.Zhang,PN:Chiu FuSheng,"St:ERA, Orion",col,Drame,AAN
AbF25,Bad Luitenant,1992,D:Ferrara,PN:,SU:,col,"Action, Drama, Crime, Policier",
PVh20,Basic Instinct,1992,D:P.Verhoeven,PN:Shep Morgan,St:Tristar,col,"Romance, Action",aw
RZe17,Death Becomes Her,1992,D:Zemeckis,"P:Zemeckis, Steve Starkey",St:Universal,col,"Comédie, Horreur",
SMi14,Forever Young,1992,D:Miner,PN:,SU:,col,Fantasy,aw
BLe12,Toys,1992,D:B.Levinson,PN:,SU:,col,Comédie,
GyM24,unknown,1992,D:Gey.Marshall,PN:Goldsmith,SU:,Tcol,Suspense,
IDu21,Flirting,1992,D:Duigan,"PN:Kennedy, Miller",St:Goldwyn,col,Romance,aw
NeJ22,The Crying Game,1992,D:N.Jordan,PN:Stephen Wooley,St:Miramax,Ecol,Suspense,"AAN, AAN dir"
UEd25,Body of Evidence,1992,D:Edel,P:deLaurentiis,SU:,col,Drame,
FOz22,Housesitter,1992,D:Oz,PN:,SU:,prc,Comédie,aw
JJm6,Night on Earth,1992,D:Jarmusch,PN:Jarmusch,SL:W.Germany,col,Comédie,aw
MaC10,Crazy in Love,1992,D:Coolidge,"PN:Loan Stein, Karen Dorr",St:TNT,col,Romance,aw
RbR14,A Few Good Men,1992,D:R.Reiner,PN:,"St:Castle Rock,Columbia",Tcol,Drame,AAN
RMw13,Afterburn,1992,D:Markowitz,PN:Paul Kurta,St:HBO,CFIcol,Action,aw
RPe22,Leap of Faith,1992,D:Pearce,PU:,SU:,Tcol,Drame,
FKi18,Into the Sun,1992,D:Kiersch,PU:,SU:,prc,Action,
JmF20,Glengarry Glen Ross,1992,D:J.Foley,PN:,SU:,"col, TV",Drame,
JRu12,Stepfather 3,1992,D:J.Ruben,PN:,St:ITS,col,Suspense,
RhM34,Blue Ice,1992,D:Mulcahy,"PN:Bregman, Michael Caine",St:HBO,col,Suspense,
AKo16,The Inner Circle,1992,D:Konchalovsky,PN:,SU:,,Epic,
GaT10,Beauty and the Beast,1992,D:Trousdale,PN:Don Hahn,St:Disney,prc,Animation,AAN
GaT11,"Ferngully, The Last Rainforest",1992,D:Trousdale,PN:,St:FAI. SL:Australia,col,Animation,
HSB18,Apfelbäume,1992,D:SandersBrahms,PN:,St:Alert,col,Romance,aw
ILt10,Geri's Game,1992,D:Lasseter,PU:,SU:,prc,Animation,
ITu10,Mac,1992,D:Turturro,"PN:Nancy Tenenbaum, Brenda Goodman","St:World, Goldwyn",prc,Drame,Palm
MaG10,Die Blaue Stunde,1992,D:Gisler,P:Gisler,SU:,col,"Drame, Romance",aw
MoT12,My Father is Coming,1992,D:Treut,PN:,SU:,col,Porn,
TiB12,Batman Returns,1992,D:T.Burton,PN:,St:Warners,col,Fantasy,
ZlK20,Wild Orchid 2: Two Shades of Blue,1992,D:Z.King,PN:,SU:,col,Porn,
bQs25,Are We Still Married,1992,D:Quay,PN:,SU:,car,Drame,aw
BrG20,The Josephine Baker Story,1992,D:B.Gibson,PN:,SU:,col,Biopic,
MdV14,Sweetheart,1992,D:deVille,PN:,SU:,prc,Romance,aw
RnF14,Baraka,1992,D:Fricke,PN:Mark Magdison,St:dist(Sam Goldwyn,DeLuxe,"Documentaire, Epic",aw
SpJ6,New York City,1992,D:Spike Lee,P:Spike Lee,SU:,col,Drame,
SpJ7,Malcolm X,1992,D:Spike Lee,P:Spike Lee,St:Warners,col,Biopic,
CCo5,Home Alone 2: Lost in New York,1992,D:Columbus,P:J.Hughes,St:Fox,col,Comédie,
EAr10,Sister Act,1992,D:Ardolino,PN:Dawn Steele,SU:,prc,Comédie,aw
JWy15,976-Evil,1992,D:Wynorski,PN:Paul Hertzberg,St:Cinetel,col,"Porn, Horreur",
NMv10,Urga,1992,D:Mikhalkov,PN:,St:Hachette,col,Drame,
PPm15,Archipielago,1992,D:Perelman,PN:,SU:,col,Drame,aw
ADv15,Under Siege,1992,D:A.Davis,PN:,St:Warners,Tcol,Action,aw
BiA5,The Best Intentions,1992,D:August,PN:,SU:,col,Biopic,GP
CEd20,As You like It,1992,D:Edzard,PN:Edzard,St:Sands,col,Drame,
DH5,Becoming Colette,1992,D:D.Huston,PN:,SU:,prc,Biopic,aw
DdV4,Hoffa,1992,D:D.deVito,PU:,St:Fox,col,Drame,
GrA10,The Living End,1992,D:Araki,"PN:Marcus Hu, Jon Gerrans","St:Desperate Pictures, Stand",col,Noir,aw
IMT20,Medicine Man,1992,D:McTiernan,PN:,St:Cinergi,Tcol,Action,
KSR35,Poison Ivy,1992,D:K.S.Ruben,P:A.Ruben,St:NewLine,col,Drame,
RSh15,White Men Can't Jump,1992,D:Shelton,"PN:Don Miller, David Lester",St:Fox,DeLuxe,Comédie,
BRo10,Jennifer 8,1992,D:B.Robinson,PN:,SU:,prc,Suspense,aw
CCw2,Singles,1992,D:C.Crowe,"PN:C.Crowe, Richard Hashimoto",St:Warners,Tcol,"Romance, Comédie",aw
EZw4,Leaving Normal,1992,D:Zwick,PN:Lindsay Doran,St:Universal,col,Drame,
KBr10,Strauss,1992,D:Branagh,P:S.Pollock,SU:,col,Biopic,
KBr12,Peter's Friends,1992,D:Branagh,P:Branagh,"St:Renaissance, Goldwyn",col,Comédie,
MNa13,Missisipi Masala,1992,D:Nair,"PN:Michael Nozik, Nair","St:Mirabai, SD:Goldwyn",col,Romance,aw
MLa15,Grand Isle,1992,D:Lambert,PN:,SU:,col,Drame,
PAR14,Sneakers,1992,D:P.A.Robinson,PN:,SU:,col,"Suspense, Comédie",
AMo13,The Gun in Betty Lou's Handbag,1992,D:Moyle,PN:,SU:,prc,"Action, Romance",aw
DlB3,Paradise Park,1992,D:Dan.Boyd,PN:,SU:,prc,Drame,aw
HlH3,Simple Men,1992,D:Hartley,PN:,SU:,prc,"Action, Drama, Crime, Policier",aw
IDa14,Red Rock West,1992,D:Dahl,PN:?. Sightvassen,"St:Polygram, Propaganda, HBO",DeLuxe,"Suspense, Noir",
JGb10,The Genius,1992,D:J.Gibbons,"P:J.Gibbons, Breer",St:Fugitive Productions,col,SciFi,aw
JLz2,Leolo,1992,D:Lauzon,PN:,St:Fine Line,col,"Comédie, Fantasy, Porn",aw
JnL12,My Cousin Vinny,1992,D:Lynn,"PN:Dale Launer, Paul Schiff",St:Fox,DeLuxe,Comédie,aw
MnK15,Siddheshwari,1992,D:Kaul,PN:,SU:,prc,Drame,aw
MiJ10,The Bodyguard,1992,D:M.Jackson,"PN:L.Kasdan, Jim Wilson, Kevin Costner",St:Warners,col,Action,
MYa20,"Ai Ni Tsuite, Tokyo",1992,D:Yanagimachi,"PN:Masaru Koibuchi, Yanagimachi",SU:,col,Drame,aw
NRe10,Prelude to a Kiss,1992,D:Rene,PN:,SU:,prc,Romance,aw
PnM11,Year of the Comet,1992,D:P.Marshall,PN:,"St:NewLine, Columbia",col,Romance,aw
PnM12,A League of their Own,1992,D:P.Marshall,PN:,SU:,col,Drame,aw
PhJ13,Final Analysis,1992,D:Joanou,PN:,St:Warners,col,Suspense,aw
RHr10,Gladiator,1992,D:Herrington,PN:,SU:,prc,Drame,aw
RHr12,Striking Distance,1992,D:Herrington,"PN:Arnon Milchan, Tony homopoulis, Hunt Lowry",St:Columbia,col,Action,aw
RnH13,Boomerang,1992,D:Hudlin,"PN:Brian Grazer, Warrington Hudlin",St:Paramount,col,Comédie,aw
RRe10,A Few Good Men,1992,D:Regan,PN:,St:Columbia,col,Drame,aw
SBa20,Teenage Mutant Ninja Turtles 2,1992,D:Barron,PN:,SU:,col,Fantasy,
SOe12,"Ace Ventura, Pet Detective",1992,D:Oedekerk,PU:,SU:,col,Comédie,
YaY10,Sexual Response,1992,D:Yosha,PN:Ashol Amitraj,St:Vision,col,"Suspense, Romance",aw
YZh6,Sons,1992,D:Y.Zhang,PU:,SU:,prc,Drame,
CMe10,CrissCross,1992,D:Menges,PN:,SU:,prc,Drame,aw
HfK10,London Kills Me,1992,D:Kureishi,PN:,SU:,prc,Drame,aw
IWk3,Night and the City,1992,D:I.Winkler,PN:,SU:,prc,Drame,aw
JVD10,Toto le Héros,1992,D:VanDormael,PN:,SU:,prc,Drame,aw
LrA10,Carmen,1992,D:Lr.Anderson,PN:,SU:,TV,Romance,aw
SLe12,Lionheart,1992,D:Lettich,P:vanDamme,"St:Imperial, SD:",,Action,aw
SyC10,My New Gun,1992,D:Cochran,PN:,St:IRS Media,col,Drame,aw
AAn10,Gas Food Lodging,1992,D:Anders,PN:,St:IRS Media,prc,Drame,aw
AbH1,Menace II Society,1992,D:Alb.Hughes,P:All.Hughes,St:NewLine,col,Drame,aw
ADg10,The Moneytree,1992,D:Dienstag,PN:,SU:,prc,"Action, Comédie",aw
AfA10,Like Water for Chocolate,1992,D:Arau,P:Arau,St:Miramax,col,Romance,aw
ANe10,Voyage of Terror,1992,D:Negrin,PN:,SU:,TV,Documentaire,aw
AnW10,Split: William to Chrysis,1992,D:Weeks,PN:Ellen Fisher Turk,SU:,col,Biopic,aw
AWk10,Traces of Red,1992,D:Wolk,"PN:Mark Gordon, David V. Picker",St:Goldwyn,col,"Drame, Porn",
BaL1,Strictly Ballroom,1992,D:Luhrmann,PN:,SU:,prc,Musicale,aw
BCr10,Mr. Saturday Night,1992,D:Crystal,P:Crystal,SU:,prc,Comédie,aw
BeR10,Candyman,1992,D:B.Rose,PN:,SU:,col,Drame,aw
BKi10,Antonia and Jane,1992,D:Kidron,PN:,St:Miramax,col,Romance,aw
BLv10,Beethoven,1992,D:Levant,PN:J.Hughes,St:Universal,col,Comédie,aw
BLv12,Beethoven's 2nd,1992,D:Levant,PN:,St:Universal,col,Comédie,aw
BLw10,"The Favor, the Watch, and the Very Big Fish",1992,D:B.Lewin,PN:,SU:,col,Comédie,aw
BrL10,The Lawnmower Man,1992,D:B.Leonard,PN:,SU:,prc,Horreur,aw
BSm10,Bebe's Kids,1992,D:B.Smith,"PN:Reginald Hudlin, Warrington Hudlin, Willard Carroll, Thomas L. White",St:Paramount,prc,Animation,aw
ByP10,Mistress,1992,D:Primus,PN:,SU:,col,Comédie,aw
CaF10,One False Move,1992,D:C.Franklin,PN:,St:IRS Media,prc,"Action, Drama, Crime, Policier",aw
CrB10,That Night,1992,D:Bolotin,PN:Arnon Milchan,"St:Le Studio Canal+, Regency, Alcor",col,Romance,aw
CRd10,Amityville 1992: It's About Time,1992,D:Randel,PN:Christopher deFaria,SU:,col,Horreur,
CsS10,Where Angels Fear to Tread,1992,D:Sturridge,PN:Derek Granger,St:Sovereign,col,Romance,aw
CVi10,La Discrete,1992,D:Vincent,PN:,SU:,prc,Drame,aw
CyS1,Strangers in Good Company,1992,D:C.Scott,PN:,St:Nat.Film Board of Canada,prc,Drame,aw
DeR10,Unbecoming Age,1992,D:Ringel,PN:Alfredo Ringel,SU:,col,Romance,aw
DFi10,Alien 3,1992,D:Fincher,"PN:Gordon Carroll, David Gier, W.Hill",St:Fox,col,SciFi,aw
DJR10,Sarafina!,1992,D:Roodt,PN:,SU:,prc,Drame,aw
DPa10,Hercules Returns,1992,D:D.Parker,PN:,SU:,prc,Comédie,aw
DPr10,Children of the Corn II,1992,D:D.Price,PN:,St:Dimension,col,Horreur,aw
DvR10,Politics,1992,D:Roe,PN:E.Pressman,St:Fox,CFIcol,Drame,
FLr10,Emmanuelle 7,1992,D:Leroi,PN:Allan Siritski,St:Golan,col,"Porn, SciFi",
FRK10,Buffy the Vampire Slayer,1992,D:Kuzui,"PN:Kuzui, Howard Rosenman",St:Fox,col,"Comédie, Horreur",aw
